visitor_id,visit_date,group,device,traffic_channel,session_minutes,pages_viewed,converted,revenue_usd
VIS-00375,2026-05-30,A,Mobile,Paid Search,1.81,7,1,56.93
VIS-00376,2026-05-11,A,Desktop,Paid Search,8.27,5,0,0.0
VIS-00377,2026-05-26,A,Desktop,Referral,3.27,3,0,0.0
VIS-00378,2026-05-21,A,Mobile,Organic,5.28,2,0,0.0
VIS-00379,2026-05-05,A,Mobile,Organic,8.41,2,0,0.0
VIS-00380,2026-05-23,A,Desktop,Paid Search,1.91,8,0,0.0
VIS-00381,2026-05-02,A,Mobile,Paid Search,5.92,6,0,0.0
VIS-00382,2026-05-25,A,Desktop,Referral,4.27,5,0,0.0
VIS-00383,2026-05-10,A,Desktop,Paid Search,5.42,7,0,0.0
VIS-00384,2026-05-25,A,Mobile,Organic,7.05,1,0,0.0
VIS-00385,2026-05-11,A,Desktop,Paid Search,3.68,1,0,0.0
VIS-00386,2026-05-10,A,Desktop,Paid Search,2.4,2,0,0.0
VIS-00387,2026-05-04,A,Tablet,Social,6.42,5,0,0.0
VIS-00388,2026-05-16,A,Desktop,Email,9.22,4,0,0.0
VIS-00389,2026-05-30,A,Desktop,Paid Search,4.56,2,1,62.43
VIS-00390,2026-05-23,A,Mobile,Social,6.23,2,0,0.0
VIS-00391,2026-05-25,A,Mobile,Organic,6.95,3,0,0.0
VIS-00392,2026-05-19,A,Desktop,Paid Search,4.74,1,0,0.0
VIS-00393,2026-05-18,A,Mobile,Organic,2.06,7,0,0.0
VIS-00394,2026-05-18,A,Desktop,Organic,7.69,4,0,0.0
VIS-00395,2026-05-15,A,Mobile,Organic,1.93,4,0,0.0
VIS-00396,2026-05-25,A,Mobile,Organic,2.73,2,0,0.0
VIS-00397,2026-05-29,A,Desktop,Social,4.35,5,0,0.0
VIS-00398,2026-05-29,A,Desktop,Organic,7.67,5,0,0.0
VIS-00399,2026-05-02,A,Mobile,Organic,2.74,6,0,0.0
VIS-00400,2026-05-27,A,Mobile,Email,7.98,4,0,0.0
VIS-00401,2026-05-10,A,Tablet,Organic,5.37,5,0,0.0
VIS-00402,2026-05-09,A,Mobile,Referral,6.23,6,0,0.0
VIS-00403,2026-05-26,A,Desktop,Paid Search,1.55,5,0,0.0
VIS-00404,2026-05-04,A,Desktop,Organic,8.78,4,0,0.0
VIS-00405,2026-05-19,A,Tablet,Paid Search,1.04,3,0,0.0
VIS-00406,2026-05-09,A,Desktop,Organic,10.03,5,0,0.0
VIS-00407,2026-05-20,A,Desktop,Organic,2.03,3,0,0.0
VIS-00408,2026-05-25,A,Mobile,Organic,3.78,4,0,0.0
VIS-00409,2026-05-21,A,Desktop,Paid Search,2.34,4,1,64.88
VIS-00410,2026-05-10,A,Desktop,Organic,1.86,5,0,0.0
VIS-00411,2026-05-07,A,Mobile,Organic,3.38,1,0,0.0
VIS-00412,2026-05-23,A,Mobile,Organic,6.17,5,0,0.0
VIS-00413,2026-05-17,A,Mobile,Referral,10.11,2,0,0.0
VIS-00414,2026-05-18,A,Tablet,Paid Search,6.21,2,0,0.0
VIS-00415,2026-05-12,A,Mobile,Organic,2.73,2,0,0.0
VIS-00416,2026-05-30,A,Desktop,Organic,2.61,1,0,0.0
VIS-00417,2026-05-02,A,Mobile,Organic,5.27,8,0,0.0
VIS-00418,2026-05-04,A,Mobile,Email,4.9,5,0,0.0
VIS-00419,2026-05-15,A,Desktop,Organic,11.53,4,0,0.0
VIS-00420,2026-05-25,A,Mobile,Organic,2.86,2,0,0.0
VIS-00421,2026-05-20,A,Desktop,Social,5.03,5,0,0.0
VIS-00422,2026-05-02,A,Desktop,Organic,6.53,4,0,0.0
VIS-00423,2026-05-29,A,Desktop,Paid Search,5.26,4,0,0.0
VIS-00424,2026-05-20,A,Mobile,Organic,7.59,3,1,63.07
VIS-00425,2026-05-19,A,Desktop,Paid Search,8.0,4,0,0.0
VIS-00426,2026-05-17,A,Desktop,Email,4.41,2,0,0.0
VIS-00427,2026-05-16,A,Desktop,Organic,2.21,1,1,76.04
VIS-00428,2026-05-08,A,Mobile,Social,1.16,9,0,0.0
VIS-00429,2026-05-07,A,Desktop,Social,5.84,8,0,0.0
VIS-00430,2026-05-08,A,Mobile,Paid Search,8.58,5,1,81.55
VIS-00431,2026-05-28,A,Mobile,Organic,5.97,4,0,0.0
VIS-00432,2026-05-12,A,Mobile,Organic,2.4,3,0,0.0
VIS-00433,2026-05-21,A,Desktop,Email,0.97,7,0,0.0
VIS-00434,2026-05-15,A,Desktop,Paid Search,4.22,3,0,0.0
VIS-00435,2026-05-26,A,Desktop,Social,2.82,6,0,0.0
VIS-00436,2026-05-05,A,Desktop,Organic,3.32,5,0,0.0
VIS-00437,2026-05-12,A,Desktop,Paid Search,1.94,4,0,0.0
VIS-00438,2026-05-14,A,Desktop,Referral,2.34,2,0,0.0
VIS-00439,2026-05-27,A,Mobile,Social,4.66,2,1,35.59
VIS-00440,2026-05-03,A,Desktop,Social,2.58,5,0,0.0
VIS-00441,2026-05-19,A,Desktop,Social,2.85,7,0,0.0
VIS-00442,2026-05-15,A,Mobile,Paid Search,7.41,1,0,0.0
VIS-00443,2026-05-10,A,Desktop,Referral,12.27,4,0,0.0
VIS-00444,2026-05-17,A,Desktop,Referral,2.16,3,0,0.0
VIS-00445,2026-05-09,A,Desktop,Paid Search,3.52,3,0,0.0
VIS-00446,2026-05-12,A,Desktop,Paid Search,1.95,4,1,53.59
VIS-00447,2026-05-01,A,Mobile,Organic,2.36,5,1,41.55
VIS-00448,2026-05-15,A,Tablet,Social,9.97,5,0,0.0
VIS-00449,2026-05-06,A,Mobile,Organic,8.13,4,0,0.0
VIS-00450,2026-05-18,A,Desktop,Paid Search,6.83,6,0,0.0
VIS-00451,2026-05-15,A,Desktop,Organic,1.15,5,0,0.0
VIS-00452,2026-05-16,A,Desktop,Paid Search,4.71,4,0,0.0
VIS-00453,2026-05-21,A,Desktop,Organic,0.59,3,0,0.0
VIS-00454,2026-05-06,A,Mobile,Organic,6.06,2,1,67.14
VIS-00455,2026-05-10,A,Tablet,Paid Search,6.14,2,0,0.0
VIS-00456,2026-05-07,A,Mobile,Social,3.33,3,0,0.0
VIS-00457,2026-05-05,A,Mobile,Organic,2.9,3,0,0.0
VIS-00458,2026-05-08,A,Desktop,Paid Search,5.95,4,0,0.0
VIS-00459,2026-05-06,A,Tablet,Paid Search,5.9,3,0,0.0
VIS-00460,2026-05-30,A,Desktop,Email,5.86,1,0,0.0
VIS-00461,2026-05-10,A,Mobile,Email,7.76,5,0,0.0
VIS-00462,2026-05-16,A,Desktop,Email,2.05,5,0,0.0
VIS-00463,2026-05-03,A,Mobile,Paid Search,5.33,3,0,0.0
VIS-00464,2026-05-22,A,Mobile,Organic,1.95,8,0,0.0
VIS-00465,2026-05-19,A,Desktop,Organic,6.16,1,0,0.0
VIS-00466,2026-05-07,A,Desktop,Social,2.23,2,0,0.0
VIS-00467,2026-05-10,A,Mobile,Paid Search,3.58,1,0,0.0
VIS-00468,2026-05-16,A,Mobile,Paid Search,3.41,8,0,0.0
VIS-00469,2026-05-13,A,Mobile,Referral,5.12,7,0,0.0
VIS-00470,2026-05-14,A,Desktop,Email,9.86,1,0,0.0
VIS-00471,2026-05-30,A,Mobile,Social,2.32,1,0,0.0
VIS-00472,2026-05-07,A,Mobile,Organic,5.24,8,0,0.0
VIS-00473,2026-05-07,A,Tablet,Paid Search,4.91,4,0,0.0
VIS-00474,2026-05-07,A,Desktop,Organic,6.69,3,0,0.0
VIS-00475,2026-05-16,A,Desktop,Paid Search,2.72,5,0,0.0
VIS-00476,2026-05-08,A,Mobile,Organic,6.49,1,0,0.0
VIS-00477,2026-05-20,A,Mobile,Social,0.68,5,0,0.0
VIS-00478,2026-05-23,A,Mobile,Organic,3.48,3,0,0.0
VIS-00479,2026-05-20,A,Desktop,Organic,1.38,6,0,0.0
VIS-00480,2026-05-23,A,Desktop,Paid Search,5.37,3,0,0.0
VIS-00481,2026-05-06,A,Desktop,Social,2.22,6,0,0.0
VIS-00482,2026-05-27,A,Mobile,Organic,6.05,2,1,39.16
VIS-00483,2026-05-02,A,Desktop,Social,8.94,1,0,0.0
VIS-00484,2026-05-11,A,Mobile,Referral,3.47,3,0,0.0
VIS-00485,2026-05-21,A,Mobile,Organic,4.39,5,0,0.0
VIS-00486,2026-05-16,A,Desktop,Referral,1.76,5,1,66.54
VIS-00487,2026-05-23,A,Desktop,Paid Search,1.82,1,1,55.73
VIS-00488,2026-05-22,A,Mobile,Organic,2.2,2,0,0.0
VIS-00489,2026-05-04,A,Mobile,Organic,6.36,6,0,0.0
VIS-00490,2026-05-17,A,Mobile,Referral,6.56,3,0,0.0
VIS-00491,2026-05-22,A,Desktop,Paid Search,1.63,2,0,0.0
VIS-00492,2026-05-26,A,Desktop,Social,4.94,8,0,0.0
VIS-00493,2026-05-28,A,Desktop,Organic,4.76,6,0,0.0
VIS-00494,2026-05-01,A,Desktop,Referral,12.2,6,0,0.0
VIS-00495,2026-05-28,A,Tablet,Paid Search,7.03,3,0,0.0
VIS-00496,2026-05-21,A,Desktop,Email,6.07,8,0,0.0
VIS-00497,2026-05-06,A,Mobile,Paid Search,7.71,2,0,0.0
VIS-00498,2026-05-04,A,Tablet,Paid Search,6.06,5,1,65.37
VIS-00499,2026-05-16,A,Desktop,Referral,1.24,8,0,0.0
VIS-00500,2026-05-16,A,Desktop,Organic,10.98,2,1,72.6
VIS-00501,2026-05-25,A,Desktop,Social,4.07,2,0,0.0
VIS-00502,2026-05-12,A,Mobile,Social,3.46,10,0,0.0
VIS-00503,2026-05-03,A,Mobile,Paid Search,7.48,4,0,0.0
VIS-00504,2026-05-14,A,Mobile,Paid Search,7.91,11,0,0.0
VIS-00505,2026-05-10,A,Desktop,Referral,7.71,2,0,0.0
VIS-00506,2026-05-24,A,Desktop,Organic,3.39,1,0,0.0
VIS-00507,2026-05-12,A,Desktop,Organic,0.58,2,0,0.0
VIS-00508,2026-05-03,A,Mobile,Organic,6.5,1,0,0.0
VIS-00509,2026-05-18,A,Desktop,Paid Search,4.94,2,0,0.0
VIS-00510,2026-05-02,A,Tablet,Organic,4.49,5,1,66.02
VIS-00511,2026-05-04,A,Desktop,Referral,1.13,5,0,0.0
VIS-00512,2026-05-29,A,Mobile,Organic,2.61,7,0,0.0
VIS-00513,2026-05-02,A,Mobile,Social,4.51,6,0,0.0
VIS-00514,2026-05-15,A,Desktop,Organic,3.28,4,1,57.69
VIS-00515,2026-05-28,A,Mobile,Paid Search,4.64,7,0,0.0
VIS-00516,2026-05-13,A,Desktop,Social,7.56,2,0,0.0
VIS-00517,2026-05-13,A,Desktop,Organic,1.36,2,1,55.56
VIS-00518,2026-05-05,A,Mobile,Organic,8.84,8,0,0.0
VIS-00519,2026-05-27,A,Mobile,Paid Search,3.81,2,0,0.0
VIS-00520,2026-05-16,A,Mobile,Social,7.11,5,0,0.0
VIS-00521,2026-05-11,A,Mobile,Paid Search,1.72,6,0,0.0
VIS-00522,2026-05-20,A,Tablet,Email,1.55,4,0,0.0
VIS-00523,2026-05-17,A,Desktop,Organic,4.63,4,0,0.0
VIS-00524,2026-05-27,A,Mobile,Paid Search,1.05,3,0,0.0
VIS-00525,2026-05-03,A,Desktop,Email,4.17,5,0,0.0
VIS-00526,2026-05-12,A,Mobile,Social,4.27,4,0,0.0
VIS-00527,2026-05-16,A,Mobile,Organic,2.35,4,0,0.0
VIS-00528,2026-05-04,A,Desktop,Email,2.31,4,0,0.0
VIS-00529,2026-05-26,A,Tablet,Paid Search,5.05,3,0,0.0
VIS-00530,2026-05-23,A,Mobile,Email,1.66,3,0,0.0
VIS-00531,2026-05-26,A,Desktop,Paid Search,1.44,6,0,0.0
VIS-00532,2026-05-10,A,Desktop,Social,1.04,3,0,0.0
VIS-00533,2026-05-22,A,Desktop,Organic,4.9,3,0,0.0
VIS-00534,2026-05-22,A,Desktop,Social,0.78,3,1,77.18
VIS-00535,2026-05-18,A,Desktop,Organic,3.46,2,0,0.0
VIS-00536,2026-05-25,A,Mobile,Email,3.3,5,0,0.0
VIS-00537,2026-05-11,A,Desktop,Referral,1.63,6,0,0.0
VIS-00538,2026-05-29,A,Desktop,Paid Search,3.66,6,0,0.0
VIS-00539,2026-05-28,A,Mobile,Organic,5.75,3,0,0.0
VIS-00540,2026-05-06,A,Mobile,Organic,1.34,5,0,0.0
VIS-00541,2026-05-12,A,Mobile,Organic,4.42,3,0,0.0
VIS-00542,2026-05-08,A,Desktop,Organic,9.33,3,0,0.0
VIS-00543,2026-05-14,A,Mobile,Organic,3.32,4,0,0.0
VIS-00544,2026-05-12,A,Desktop,Email,3.16,3,0,0.0
VIS-00545,2026-05-27,A,Desktop,Referral,4.17,5,0,0.0
VIS-00546,2026-05-25,A,Desktop,Organic,4.48,2,0,0.0
VIS-00547,2026-05-17,A,Desktop,Paid Search,5.77,4,0,0.0
VIS-00548,2026-05-14,A,Desktop,Paid Search,4.26,7,0,0.0
VIS-00549,2026-05-01,A,Desktop,Referral,3.14,4,0,0.0
VIS-00550,2026-05-14,A,Desktop,Referral,2.65,8,1,46.31
VIS-00551,2026-05-28,A,Mobile,Social,2.32,2,0,0.0
VIS-00552,2026-05-26,A,Mobile,Organic,1.24,7,0,0.0
VIS-00553,2026-05-09,A,Desktop,Organic,9.83,3,0,0.0
VIS-00554,2026-05-04,A,Mobile,Referral,1.15,3,0,0.0
VIS-00555,2026-05-09,A,Desktop,Referral,5.11,6,0,0.0
VIS-00556,2026-05-04,A,Desktop,Organic,4.38,5,0,0.0
VIS-00557,2026-05-16,A,Mobile,Organic,3.7,4,0,0.0
VIS-00558,2026-05-03,A,Desktop,Paid Search,1.3,7,0,0.0
VIS-00559,2026-05-18,A,Desktop,Organic,3.66,6,0,0.0
VIS-00560,2026-05-16,A,Desktop,Email,5.4,3,0,0.0
VIS-00561,2026-05-03,A,Mobile,Organic,9.88,5,0,0.0
VIS-00562,2026-05-07,A,Mobile,Organic,1.52,2,0,0.0
VIS-00563,2026-05-20,A,Mobile,Email,1.46,2,0,0.0
VIS-00564,2026-05-11,A,Tablet,Email,1.69,4,0,0.0
VIS-00565,2026-05-05,A,Mobile,Organic,7.35,4,0,0.0
VIS-00566,2026-05-15,A,Mobile,Paid Search,1.89,4,0,0.0
VIS-00567,2026-05-20,A,Desktop,Organic,4.91,4,0,0.0
VIS-00568,2026-05-16,A,Mobile,Organic,6.33,4,0,0.0
VIS-00569,2026-05-22,A,Desktop,Organic,7.97,3,0,0.0
VIS-00570,2026-05-12,A,Desktop,Paid Search,2.29,5,0,0.0
VIS-00571,2026-05-23,A,Desktop,Paid Search,2.75,5,0,0.0
VIS-00572,2026-05-05,A,Mobile,Paid Search,1.9,2,0,0.0
VIS-00573,2026-05-30,A,Tablet,Paid Search,5.93,3,0,0.0
VIS-00574,2026-05-25,A,Mobile,Organic,0.6,1,0,0.0
VIS-00575,2026-05-10,A,Mobile,Paid Search,3.26,3,0,0.0
VIS-00576,2026-05-26,A,Mobile,Social,3.4,4,0,0.0
VIS-00577,2026-05-29,A,Mobile,Paid Search,7.3,2,0,0.0
VIS-00578,2026-05-17,A,Desktop,Paid Search,1.12,3,1,41.72
VIS-00579,2026-05-20,A,Tablet,Organic,3.25,2,0,0.0
VIS-00580,2026-05-09,A,Mobile,Organic,4.79,6,0,0.0
VIS-00581,2026-05-14,A,Mobile,Organic,3.1,8,0,0.0
VIS-00582,2026-05-30,A,Desktop,Email,6.96,4,0,0.0
VIS-00583,2026-05-19,A,Mobile,Paid Search,4.03,2,1,60.71
VIS-00584,2026-05-04,A,Desktop,Paid Search,9.29,8,0,0.0
VIS-00585,2026-05-05,A,Mobile,Email,1.96,5,1,52.95
VIS-00586,2026-05-27,A,Mobile,Organic,4.41,2,0,0.0
VIS-00587,2026-05-11,A,Desktop,Email,6.36,2,0,0.0
VIS-00588,2026-05-19,A,Desktop,Paid Search,3.86,3,0,0.0
VIS-00589,2026-05-23,A,Desktop,Referral,4.63,1,0,0.0
VIS-00590,2026-05-08,A,Mobile,Social,3.45,3,0,0.0
VIS-00591,2026-05-23,A,Desktop,Organic,8.91,6,0,0.0
VIS-00592,2026-05-18,A,Tablet,Organic,9.24,5,0,0.0
VIS-00593,2026-05-06,A,Desktop,Referral,4.33,1,0,0.0
VIS-00594,2026-05-17,A,Desktop,Social,3.62,3,1,57.91
VIS-00595,2026-05-03,A,Desktop,Email,0.52,8,1,70.44
VIS-00596,2026-05-01,A,Mobile,Organic,7.31,5,1,56.48
VIS-00597,2026-05-14,A,Mobile,Organic,5.18,1,0,0.0
VIS-00598,2026-05-14,A,Tablet,Social,9.91,6,0,0.0
VIS-00599,2026-05-25,A,Desktop,Paid Search,1.66,4,0,0.0
VIS-00600,2026-05-24,A,Desktop,Email,6.75,2,0,0.0
VIS-00601,2026-05-17,A,Mobile,Referral,4.98,1,0,0.0
VIS-00602,2026-05-20,A,Mobile,Paid Search,8.52,2,0,0.0
VIS-00603,2026-05-19,A,Tablet,Email,1.9,3,1,83.01
VIS-00604,2026-05-04,A,Desktop,Social,4.41,4,0,0.0
VIS-00605,2026-05-21,A,Mobile,Paid Search,8.42,6,1,58.05
VIS-00606,2026-05-07,A,Mobile,Paid Search,7.35,3,0,0.0
VIS-00607,2026-05-02,A,Mobile,Paid Search,4.92,3,0,0.0
VIS-00608,2026-05-21,A,Mobile,Paid Search,3.96,5,1,45.55
VIS-00609,2026-05-18,A,Mobile,Referral,4.02,1,0,0.0
VIS-00610,2026-05-01,A,Mobile,Email,5.43,7,1,48.6
VIS-00611,2026-05-25,A,Mobile,Organic,15.31,4,1,69.98
VIS-00612,2026-05-21,A,Desktop,Organic,4.97,5,1,37.22
VIS-00613,2026-05-13,A,Mobile,Email,2.69,2,1,71.18
VIS-00614,2026-05-17,A,Desktop,Social,5.94,7,0,0.0
VIS-00615,2026-05-19,A,Mobile,Organic,1.54,5,0,0.0
VIS-00616,2026-05-12,A,Mobile,Social,2.39,6,0,0.0
VIS-00617,2026-05-10,A,Mobile,Paid Search,8.6,3,0,0.0
VIS-00618,2026-05-13,A,Desktop,Email,1.4,5,0,0.0
VIS-00619,2026-05-05,A,Mobile,Organic,8.7,2,1,70.19
VIS-00620,2026-05-15,A,Desktop,Organic,1.69,3,0,0.0
VIS-00621,2026-05-19,A,Mobile,Social,1.75,3,0,0.0
VIS-00622,2026-05-03,A,Mobile,Social,5.02,2,0,0.0
VIS-00623,2026-05-03,A,Mobile,Social,4.26,4,0,0.0
VIS-00624,2026-05-28,A,Mobile,Organic,12.57,2,0,0.0
VIS-00625,2026-05-06,A,Desktop,Social,3.31,4,0,0.0
VIS-00626,2026-05-13,A,Desktop,Paid Search,3.84,2,0,0.0
VIS-00627,2026-05-07,A,Desktop,Organic,3.43,7,0,0.0
VIS-00628,2026-05-20,A,Mobile,Social,4.72,5,1,39.15
VIS-00629,2026-05-14,A,Mobile,Email,1.08,3,1,32.85
VIS-00630,2026-05-04,A,Mobile,Referral,4.55,2,0,0.0
VIS-00631,2026-05-01,A,Mobile,Referral,7.44,2,0,0.0
VIS-00632,2026-05-27,A,Desktop,Referral,8.34,6,0,0.0
VIS-00633,2026-05-13,A,Mobile,Paid Search,8.15,7,0,0.0
VIS-00634,2026-05-21,A,Mobile,Paid Search,1.56,2,0,0.0
VIS-00635,2026-05-07,A,Desktop,Organic,10.05,8,0,0.0
VIS-00636,2026-05-08,A,Desktop,Email,1.49,2,0,0.0
VIS-00637,2026-05-16,A,Mobile,Email,10.29,5,0,0.0
VIS-00638,2026-05-28,A,Mobile,Email,3.66,4,0,0.0
VIS-00639,2026-05-12,A,Mobile,Social,2.41,5,0,0.0
VIS-00640,2026-05-27,A,Desktop,Referral,7.09,4,0,0.0
VIS-00641,2026-05-02,A,Desktop,Social,3.81,2,0,0.0
VIS-00642,2026-05-14,A,Desktop,Referral,8.62,2,0,0.0
VIS-00643,2026-05-11,A,Desktop,Paid Search,6.77,4,0,0.0
VIS-00644,2026-05-09,A,Mobile,Email,19.5,7,0,0.0
VIS-00645,2026-05-01,A,Desktop,Paid Search,1.13,6,0,0.0
VIS-00646,2026-05-25,A,Mobile,Referral,2.86,7,0,0.0
VIS-00647,2026-05-01,A,Desktop,Social,1.18,3,0,0.0
VIS-00648,2026-05-01,A,Mobile,Organic,12.08,2,0,0.0
VIS-00649,2026-05-01,A,Desktop,Organic,5.95,4,1,40.01
VIS-00650,2026-05-29,A,Desktop,Paid Search,2.76,1,0,0.0
VIS-00651,2026-05-16,A,Tablet,Paid Search,16.69,3,1,66.59
VIS-00652,2026-05-29,A,Desktop,Social,4.92,2,0,0.0
VIS-00653,2026-05-14,A,Mobile,Organic,5.75,5,0,0.0
VIS-00654,2026-05-03,A,Desktop,Organic,3.27,4,0,0.0
VIS-00655,2026-05-04,A,Mobile,Email,7.49,3,0,0.0
VIS-00656,2026-05-29,A,Tablet,Referral,6.29,4,0,0.0
VIS-00657,2026-05-21,A,Mobile,Organic,4.18,5,0,0.0
VIS-00658,2026-05-09,A,Mobile,Organic,6.73,5,0,0.0
VIS-00659,2026-05-14,A,Desktop,Organic,7.94,3,0,0.0
VIS-00660,2026-05-25,A,Desktop,Paid Search,2.0,4,0,0.0
VIS-00661,2026-05-27,A,Mobile,Organic,6.03,6,1,82.45
VIS-00662,2026-05-26,A,Desktop,Organic,5.18,1,0,0.0
VIS-00663,2026-05-30,A,Desktop,Organic,5.59,7,1,76.19
VIS-00664,2026-05-06,A,Tablet,Email,0.56,3,0,0.0
VIS-00665,2026-05-04,A,Tablet,Social,9.06,5,0,0.0
VIS-00666,2026-05-11,A,Desktop,Email,12.33,6,1,21.58
VIS-00667,2026-05-03,A,Mobile,Social,10.16,1,0,0.0
VIS-00668,2026-05-29,A,Mobile,Organic,1.02,3,1,58.8
VIS-00669,2026-05-04,A,Desktop,Organic,2.68,6,0,0.0
VIS-00670,2026-05-24,A,Mobile,Paid Search,2.9,2,0,0.0
VIS-00671,2026-05-11,A,Desktop,Organic,3.48,3,0,0.0
VIS-00672,2026-05-22,A,Desktop,Social,7.96,1,0,0.0
VIS-00673,2026-05-29,A,Mobile,Organic,2.72,3,0,0.0
VIS-00674,2026-05-08,A,Desktop,Organic,6.74,3,0,0.0
VIS-00675,2026-05-24,A,Desktop,Social,8.87,6,0,0.0
VIS-00676,2026-05-22,A,Mobile,Organic,3.6,3,0,0.0
VIS-00677,2026-05-09,A,Mobile,Referral,6.93,5,0,0.0
VIS-00678,2026-05-02,A,Desktop,Social,3.22,6,0,0.0
VIS-00679,2026-05-15,A,Desktop,Social,8.78,5,0,0.0
VIS-00680,2026-05-08,A,Desktop,Organic,9.7,2,0,0.0
VIS-00681,2026-05-21,A,Mobile,Referral,2.87,4,0,0.0
VIS-00682,2026-05-08,A,Desktop,Paid Search,2.14,3,0,0.0
VIS-00683,2026-05-11,A,Mobile,Paid Search,9.99,8,0,0.0
VIS-00684,2026-05-02,A,Desktop,Email,3.75,3,1,57.08
VIS-00685,2026-05-06,A,Mobile,Organic,5.87,4,0,0.0
VIS-00686,2026-05-15,A,Tablet,Referral,7.79,7,0,0.0
VIS-00687,2026-05-11,A,Mobile,Referral,2.11,6,0,0.0
VIS-00688,2026-05-01,A,Mobile,Organic,2.63,5,0,0.0
VIS-00689,2026-05-23,A,Desktop,Organic,0.52,5,0,0.0
VIS-00690,2026-05-30,A,Desktop,Referral,9.49,6,0,0.0
VIS-00691,2026-05-09,A,Tablet,Organic,4.51,4,0,0.0
VIS-00692,2026-05-15,A,Desktop,Organic,2.32,3,0,0.0
VIS-00693,2026-05-11,A,Mobile,Organic,4.27,3,0,0.0
VIS-00694,2026-05-24,A,Mobile,Paid Search,2.54,3,0,0.0
VIS-00695,2026-05-06,A,Desktop,Organic,4.4,4,0,0.0
VIS-00696,2026-05-16,A,Desktop,Paid Search,7.41,5,0,0.0
VIS-00697,2026-05-11,A,Desktop,Social,2.35,4,0,0.0
VIS-00698,2026-05-04,A,Mobile,Organic,4.54,8,0,0.0
VIS-00699,2026-05-22,A,Mobile,Organic,5.01,4,0,0.0
VIS-00700,2026-05-14,A,Mobile,Organic,1.24,4,1,72.16
VIS-00701,2026-05-08,A,Mobile,Referral,3.06,4,0,0.0
VIS-00702,2026-05-01,A,Mobile,Organic,8.68,5,0,0.0
VIS-00703,2026-05-30,A,Desktop,Email,3.69,4,0,0.0
VIS-00704,2026-05-09,A,Desktop,Organic,5.85,5,0,0.0
VIS-00705,2026-05-02,A,Tablet,Paid Search,5.56,6,0,0.0
VIS-00706,2026-05-20,A,Mobile,Organic,4.86,3,0,0.0
VIS-00707,2026-05-27,A,Mobile,Organic,9.51,1,0,0.0
VIS-00708,2026-05-06,A,Mobile,Organic,1.78,7,0,0.0
VIS-00709,2026-05-29,A,Mobile,Organic,0.66,4,0,0.0
VIS-00710,2026-05-28,A,Desktop,Referral,4.6,5,0,0.0
VIS-00711,2026-05-01,A,Desktop,Organic,6.55,3,0,0.0
VIS-00712,2026-05-20,A,Mobile,Paid Search,7.57,4,0,0.0
VIS-00713,2026-05-22,A,Desktop,Social,5.06,8,0,0.0
VIS-00714,2026-05-01,A,Mobile,Paid Search,1.63,3,1,61.28
VIS-00715,2026-05-29,A,Desktop,Organic,5.03,3,0,0.0
VIS-00716,2026-05-13,A,Desktop,Organic,0.76,7,0,0.0
VIS-00717,2026-05-06,A,Desktop,Referral,4.96,5,0,0.0
VIS-00718,2026-05-27,A,Tablet,Paid Search,1.13,3,0,0.0
VIS-00719,2026-05-30,A,Mobile,Organic,4.43,4,0,0.0
VIS-00720,2026-05-08,A,Desktop,Referral,1.21,6,0,0.0
VIS-00721,2026-05-13,A,Mobile,Email,2.31,3,0,0.0
VIS-00722,2026-05-04,A,Desktop,Email,1.64,4,0,0.0
VIS-00723,2026-05-03,A,Desktop,Organic,5.1,6,0,0.0
VIS-00724,2026-05-09,A,Desktop,Social,2.88,6,0,0.0
VIS-00725,2026-05-03,A,Mobile,Paid Search,4.07,6,0,0.0
VIS-00726,2026-05-15,A,Tablet,Organic,7.76,3,0,0.0
VIS-00727,2026-05-10,A,Desktop,Paid Search,2.96,10,0,0.0
VIS-00728,2026-05-12,A,Mobile,Organic,2.21,1,1,38.67
VIS-00729,2026-05-25,A,Mobile,Organic,3.03,1,0,0.0
VIS-00730,2026-05-08,A,Desktop,Paid Search,6.05,3,0,0.0
VIS-00731,2026-05-23,A,Desktop,Organic,2.95,3,1,57.21
VIS-00732,2026-05-14,A,Desktop,Organic,4.51,6,0,0.0
VIS-00733,2026-05-04,A,Mobile,Paid Search,3.43,7,0,0.0
VIS-00734,2026-05-15,A,Desktop,Paid Search,1.99,1,0,0.0
VIS-00735,2026-05-29,A,Mobile,Paid Search,10.59,6,0,0.0
VIS-00736,2026-05-21,A,Mobile,Referral,4.18,4,0,0.0
VIS-00737,2026-05-21,A,Mobile,Paid Search,5.03,4,0,0.0
VIS-00738,2026-05-30,A,Desktop,Email,6.26,7,0,0.0
VIS-00739,2026-05-15,A,Mobile,Email,6.77,4,0,0.0
VIS-00740,2026-05-20,A,Desktop,Email,5.61,4,0,0.0
VIS-00741,2026-05-11,A,Mobile,Social,2.92,3,0,0.0
VIS-00742,2026-05-03,A,Tablet,Organic,3.47,5,0,0.0
VIS-00743,2026-05-07,A,Desktop,Email,2.28,6,0,0.0
VIS-00744,2026-05-05,A,Mobile,Social,5.75,4,0,0.0
VIS-00745,2026-05-12,A,Desktop,Paid Search,3.41,3,0,0.0
VIS-00746,2026-05-09,A,Tablet,Organic,4.25,2,1,47.37
VIS-00747,2026-05-02,A,Desktop,Organic,2.02,3,0,0.0
VIS-00748,2026-05-29,A,Tablet,Organic,3.77,3,1,64.03
